id,DD,CO,TD
dd001,0.0363669505281,0.925537004084,0.0380960453883
dd002,0.0289819582918,0.0541386480924,0.916879393616
dd003,0.0269257217327,0.0419263670393,0.931147911228
dd004,0.0203863872382,0.0847687527313,0.894844860031
dd005,0.0317584229249,0.0924502493927,0.875791327682
dd006,0.0870722982395,0.635625003259,0.277302698501
dd007,0.101004167885,0.265777397286,0.633218434829
dd008,0.0645624650147,0.222959608792,0.712477926194
dd009,0.0274941026803,0.471836944682,0.500668952638
dd010,0.127593957795,0.206267648107,0.666138394098
dd011,0.0390577262828,0.704319537538,0.256622736179
dd012,0.10566376846,0.381615372744,0.512720858796
dd013,0.209087800893,0.609702984545,0.181209214562
dd014,0.242292939882,0.482857201052,0.274849859065
dd015,0.118413818807,0.375171057941,0.506415123252
dd016,0.271150791466,0.376680412322,0.352168796212
dd017,0.399663477567,0.0800012903546,0.520335232079
dd018,0.122771612364,0.459223012116,0.418005375521
dd019,0.124246289471,0.688590412225,0.187163298303
dd020,0.0771416192749,0.784298652588,0.138559728137
dd021,0.177266226592,0.238367835155,0.584365938253
dd022,0.209277121832,0.179634694396,0.611088183772
dd023,0.0520253347456,0.259770193474,0.688204471781
dd024,0.0802665182891,0.615219888236,0.304513593475
dd026,0.066646892428,0.517006199403,0.416346908169
dd027,0.0271770976667,0.33104827401,0.641774628323
dd028,0.50550393236,0.124963019919,0.369533047721
dd029,0.0621077476683,0.603857527251,0.33403472508
dd030,0.0337212066027,0.71836705744,0.247911735958
dd031,0.366661719915,0.176713082181,0.456625197904
dd032,0.0544050463787,0.820492314376,0.125102639245
dd033,0.0216148444838,0.884593738699,0.0937914168172
dd034,0.0161742971385,0.912428914779,0.0713967880827
dd035,0.00714798414237,0.900407975833,0.0924440400243
dd036,0.0101498262508,0.895863121006,0.0939870527428
dd037,0.141303581848,0.673527883651,0.1851685345
dd038,0.0314072710101,0.922630574101,0.0459621548884
dd039,0.201367487124,0.623706642522,0.174925870354
dd040,0.470884551494,0.41854694967,0.110568498837
dd041,0.18020488894,0.436335836584,0.383459274476
dd042,0.193519892356,0.510252443547,0.296227664097
dd043,0.154918482592,0.736987493627,0.108094023781
dd045,0.325369933403,0.17757300375,0.497057062847
dd046,0.17882763661,0.62194475521,0.19922760818
dd047,0.0271484582314,0.77471220362,0.198139338149
dd048,0.132465676659,0.775154248559,0.0923800747813
dd049,0.415754395641,0.511678549668,0.0725670546907
dd050,0.0255519682343,0.752143443001,0.222304588765
dd051,0.0355807260896,0.330602302783,0.633816971127
dd052,0.0702770156527,0.510381108181,0.419341876167
dd053,0.0214646888613,0.750791792258,0.227743518881
dd054,0.0349654450495,0.72819822426,0.23683633069
dd055,0.0213429399259,0.743417124393,0.235239935681
dd056,0.071226520427,0.638393331637,0.290380147936
dd058,0.0178293396316,0.940633441406,0.0415372189624
dd059,0.0158146345105,0.95734826775,0.02683709774
dd060,0.0256556204099,0.929386970376,0.0449574092137
dd061,0.54788569174,0.271981644004,0.180132664255
dd062,0.00498298719708,0.977733151581,0.0172838612221
dd063,0.00623904780314,0.975077326523,0.0186836256734
dd064,0.00439998719708,0.981273284448,0.014326728355
dd065,0.324172431598,0.570142104631,0.105685463771
dd066,0.0826286402355,0.842325416135,0.0750459436299
dd067,0.672070339315,0.174647353157,0.153282307528
dd068,0.0861743402333,0.819076712063,0.0947489477039
dd069,0.272014320549,0.60867195804,0.119313721411
dd070,0.161357525581,0.556525463023,0.282117011396
dd071,0.0556239475879,0.336511639542,0.607864412871
dd072,0.0453258295602,0.48436763377,0.47030653667
dd073,0.268934071835,0.10558298668,0.625482941484
dd074,0.42029011974,0.0434354475666,0.536274432693
dd075,0.0941551908661,0.18276599681,0.723078812324
dd076,0.302083067421,0.298918609593,0.398998322986
dd077,0.3024624705,0.324001582462,0.373535947037
dd078,0.227474772707,0.500123894124,0.27240133317
dd079,0.0219419449724,0.847312501537,0.130745553491
dd080,0.231877741453,0.417320803385,0.350801455163
dd081,0.00536479658213,0.894503570364,0.100131633054
dd082,0.235889088652,0.1708851268,0.593225784548
dd083,0.0307671425342,0.356758740737,0.612474116729
dd084,0.116282884038,0.557518660009,0.326198455953
dd085,0.0839004419862,0.544669853657,0.371429704356
dd086,0.0268145558493,0.786891757441,0.186293686709
dd087,0.225078333876,0.34637817957,0.428543486554
dd088,0.0622151885607,0.439287558409,0.498497253031
dd089,0.203948414548,0.495794276697,0.300257308755
dd090,0.0403385279067,0.408041093404,0.55162037869
dd091,0.030705201775,0.214694990355,0.75459980787
dd092,0.0445162418871,0.200903490166,0.754580267947
dd093,0.0422852503726,0.39630256049,0.561412189137
dd094,0.0771028575596,0.631195788693,0.291701353747
dd095,0.128346099321,0.553960104699,0.31769379598
dd096,0.139550942911,0.496309963234,0.364139093854
dd097,0.35915367501,0.0985470294186,0.542299295571
dd098,0.324927924649,0.115297855537,0.559774219814
dd099,0.246840053527,0.143529355045,0.609630591427
dd100,0.180885876346,0.316116301174,0.50299782248
dd101,0.0364242221326,0.232025866869,0.731549910999
dd102,0.0537734750588,0.368141554443,0.578084970498
dd103,0.272375633357,0.215277577011,0.512346789633
dd104,0.0607242975309,0.379286815241,0.559988887228
dd105,0.39502500159,0.359447148083,0.245527850327
dd106,0.0492241743704,0.534678179508,0.416097646122
dd107,0.155719724876,0.590687910664,0.25359236446
dd108,0.0325571252111,0.18018456849,0.787258306299
dd109,0.0643738174817,0.388707816036,0.546918366482
dd110,0.159040328189,0.18527774648,0.655681925331
dd111,0.0438417043624,0.666833452604,0.289324843033
dd112,0.0998163447148,0.599218943602,0.300964711683
dd113,0.293324241005,0.16321346137,0.543462297626
dd114,0.0249772807488,0.566724298337,0.408298420915
dd115,0.063390118919,0.431745596092,0.504864284989
dd116,0.206019102475,0.166361089026,0.627619808499
dd117,0.0785403071553,0.341226779376,0.580232913469
dd118,0.212686731892,0.0784725632372,0.708840704871
dd119,0.0673518023969,0.270745968814,0.661902228789
dd120,0.10426968748,0.16648824209,0.729242070429
dd121,0.237703584031,0.136927518193,0.625368897776
dd122,0.0882283891097,0.293602027803,0.618169583087
dd123,0.169863782206,0.0779340481546,0.752202169639
dd124,0.0431765330093,0.145507397417,0.811316069574
dd125,0.0309352182472,0.658587367034,0.310477414718
dd126,0.0243736563296,0.704262220932,0.271364122738
dd127,0.0747137715474,0.525841686702,0.39944454175
dd128,0.0281293538499,0.608927290127,0.362943356023
dd129,0.0262335050435,0.615892136295,0.357874358661
dd130,0.0841741002655,0.519839871272,0.395986028463
dd131,0.0832065039812,0.668144634152,0.248648861866
dd132,0.142197761969,0.524035508599,0.333766729432
dd133,0.0706525869455,0.476139395331,0.453208017723
dd134,0.0463888735996,0.655414695161,0.298196431239
dd135,0.825595364524,0.0985168048721,0.0758878306041
dd136,0.163411423188,0.593677780386,0.242910796427
dd137,0.152788752275,0.686728844895,0.16048240283
dd138,0.302519644675,0.41481181963,0.282668535695
dd139,0.0975029201834,0.2957905673,0.606706512516
dd140,0.200240992237,0.246654433961,0.553104573802
dd141,0.112390758743,0.325980708733,0.561628532524
dd142,0.0916559083814,0.710116303709,0.198227787909
dd143,0.647874906091,0.091722843715,0.260402250194
dd144,0.156782248051,0.723507783809,0.11970996814
dd145,0.0209188423202,0.103408868022,0.875672289657
dd146,0.0416157938605,0.111257394812,0.847126811328
dd147,0.435573410295,0.526377390894,0.0380491988108
dd148,0.428532390729,0.108154363781,0.463313245489
dd152,0.274358006124,0.599362825233,0.126279168644
dd153,0.477844748019,0.093046728003,0.429108523978
dd154,0.021947600449,0.279295192141,0.69875720741
dd155,0.0218744423735,0.0574216654491,0.920703892177
dd156,0.144386842662,0.102112192774,0.753500964565
dd157,0.216548127525,0.159467380678,0.623984491797
dd158,0.0205007115025,0.938626258283,0.040873030215
dd159,0.0205007115025,0.938626258283,0.040873030215
dd160,0.0314072710101,0.922630574101,0.0459621548884
dd161,0.222277850064,0.393163898324,0.384558251612
dd162,0.166118635305,0.220017241401,0.613864123294
dd163,0.209777460052,0.0929803024714,0.697242237477
dd164,0.108916396402,0.146954429632,0.744129173967
dd165,0.107339338449,0.0815027289533,0.811157932597
dd166,0.0992112537643,0.44218658822,0.458602158016
dd167,0.358772166807,0.316981487432,0.324246345761
dd168,0.306343303387,0.375349444829,0.318307251783
dd169,0.320743854612,0.300513109287,0.378743036101
dd170,0.301067485664,0.381885175634,0.317047338702
dd171,0.335515362001,0.404758028299,0.259726609699
dd172,0.0337536539277,0.725697898282,0.24054844779
dd173,0.190442452514,0.0496326614384,0.759924886047
dd174,0.0029348681462,0.00342912656522,0.993636005289
dd175,0.00598790233423,0.00458212306899,0.989429974597
dd176,0.00305325198458,0.00451973262582,0.99242701539
dd177,0.00441093380276,0.00880655802265,0.986782508175
dd178,0.00487388252071,0.0103882246893,0.98473789279
dd179,0.00611390819112,0.0238046697414,0.970081422067
dd180,0.0034848681462,0.00347245989855,0.993042671955
dd181,0.0078242105699,0.0151053556971,0.977070433733
dd182,0.0057822081279,0.0119979092786,0.982219882594
dd184,0.00430385471518,0.00434140878327,0.991354736502
dd185,0.00684849017918,0.0102962927372,0.982855217084
dd187,0.00706750162383,0.0106090977052,0.982323400671
dd188,0.0207945953355,0.0354421388645,0.9437632658
dd190,0.0494779128973,0.124195629459,0.826326457644
dd191,0.0221840397799,0.0448633509857,0.932952609234
dd192,0.028020095909,0.0389101248287,0.933069779262
dd193,0.061228147632,0.0462924852692,0.892479367099
dd194,0.0122669767787,0.0298822123572,0.957850810864
dd195,0.0239639185358,0.0469391533692,0.929096928095
dd196,0.00697187294651,0.0241844410394,0.968843686014
dd197,0.00995192183361,0.03330994851,0.956738129656
dd198,0.0428670363683,0.10529294035,0.851840023281
dd199,0.0257694831041,0.13925585222,0.834974664676
dd200,0.155480980332,0.265460104833,0.579058914835
dd201,0.266894518759,0.274237496843,0.458867984398
dd202,0.0932497464878,0.189296744309,0.717453509203
dd203,0.125071046097,0.393999245509,0.480929708394
dd204,0.070543230309,0.511854132444,0.417602637247
dd205,0.186375240404,0.594194718873,0.219430040723
dd206,0.118115212403,0.104203711781,0.777681075816
dd207,0.218852866497,0.266688546142,0.514458587361
dd208,0.163959992726,0.424202423886,0.411837583388
dd209,0.244591180049,0.395132223459,0.360276596492
dd210,0.231085379294,0.27120782962,0.497706791087
dd211,0.0899316072979,0.248590390092,0.66147800261
dd212,0.109137068336,0.660716682089,0.230146249575
dd213,0.118719074367,0.455224872244,0.426056053389
dd215,0.244894818452,0.405537609617,0.349567571931
dd216,0.262692830372,0.364588840888,0.37271832874
dd217,0.248981745376,0.468249115148,0.282769139475
dd218,0.0879500675814,0.54517687681,0.366873055609
dd219,0.0254238610744,0.792590998389,0.181985140536
dd220,0.0233465716971,0.778939129134,0.197714299169
dd221,0.0716985189523,0.114484204373,0.813817276675
dd222,0.0433157423308,0.115690819839,0.84099343783
dd223,0.0512642213518,0.12162293058,0.827112848068
dd224,0.198606174135,0.174130005758,0.627263820107
dd225,0.0210492472524,0.173684763455,0.805265989292
dd226,0.0312972007549,0.192644107233,0.776058692012
dd227,0.0524355410421,0.246416393965,0.701148064993
dd228,0.0836752234199,0.224526535742,0.691798240839
dd229,0.180751837247,0.140299223322,0.678948939431
dd230,0.00867191594912,0.889223840106,0.102104243945
dd231,0.00436415693397,0.961150483588,0.034485359478
dd232,0.248167982997,0.494176347266,0.257655669737
dd233,0.0105209194614,0.818633955035,0.170845125504
dd234,0.00437912816471,0.968977142306,0.0266437295298
dd235,0.0075976230272,0.902197380259,0.0902049967137
dd236,0.00650177570688,0.930560230402,0.0629379938914
dd237,0.0117675694719,0.906638388812,0.0815940417164
dd238,0.0165009693741,0.772521909424,0.210977121202
dd239,0.120700042799,0.169161281142,0.710138676059
dd240,0.217346470758,0.140134978384,0.642518550858
dd241,0.092647252407,0.140641659555,0.766711088038
dd242,0.280191295656,0.171801377739,0.548007326605
dd243,0.0465712126105,0.10079778857,0.852630998819
dd244,0.0329980118834,0.203332659675,0.763669328442
dd245,0.131143828529,0.23849083868,0.630365332791
dd246,0.00582242767052,0.929775795728,0.0644017766019
dd247,0.00671736872006,0.834335557194,0.158947074086
dd248,0.00812938547884,0.909588241541,0.0822823729802
dd249,0.0111833719074,0.914645826659,0.0741708014332
dd250,0.0341100805016,0.461703878302,0.504186041196
dd251,0.0084141473836,0.911160454051,0.0804253985657
dd252,0.0350513181007,0.606689204198,0.358259477701
dd253,0.045434061155,0.780600744826,0.173965194019
dd254,0.116054122065,0.681833160833,0.202112717103
dd255,0.0808694603483,0.741455361833,0.177675177818
dd256,0.236400956679,0.643347006618,0.120252036703
dd257,0.0506386428273,0.778396145727,0.170965211445
dd258,0.0527287287346,0.828078919687,0.119192351578
dd259,0.119975334719,0.540272933006,0.339751732276
dd260,0.0540452408705,0.818811937302,0.127142821828
dd261,0.209700560605,0.175506035159,0.614793404236
dd262,0.0483167277786,0.193924573881,0.757758698341
dd263,0.0154729971476,0.146669449713,0.837857553139
dd264,0.0204922284131,0.17330242182,0.806205349767
dd265,0.0107916005585,0.0983954837679,0.890812915674
dd266,0.0756716906688,0.193615087828,0.730713221503
dd267,0.106907513963,0.0860733479002,0.807019138137
dd268,0.12789516041,0.239209063436,0.632895776154
du0,0.749578630993,0.0458311601797,0.204590208827
du1,0.949104929846,0.0253960108211,0.0254990593331
du2,0.537668063086,0.278630255309,0.183701681605
du3,0.81900139628,0.0446845704899,0.13631403323
du4,0.710904376775,0.118590594699,0.170505028527
du5,0.726566699828,0.0987783583349,0.174654941837
du6,0.902250268247,0.0681869877291,0.029562744024
du7,0.899415628997,0.0661439718561,0.0344403991467
du8,0.830602114174,0.0330563146857,0.136341571141
du9,0.440598870974,0.293608775033,0.265792353993
du10,0.746926158764,0.172090570998,0.0809832702376
du11,0.956633948286,0.0239889593619,0.0193770923521
du12,0.59837888214,0.260446290108,0.141174827751
du13,0.845868967187,0.0464096929773,0.107721339835
du14,0.948367533578,0.00958186813187,0.0420505982906
du15,0.913313088539,0.0192087492362,0.0674781622247
du16,0.906870561267,0.0331028663052,0.0600265724273
du17,0.957825822915,0.0194512583191,0.0227229187658
du18,0.958589458904,0.0307654312062,0.0106451098901
du19,0.933198037551,0.0425229595609,0.0242790028879
du20,0.905248589876,0.0578477769255,0.0369036331984
du21,0.560189025067,0.115881849485,0.323929125448
du22,0.414853233845,0.254347244387,0.330799521768
du23,0.841140878558,0.0975309557284,0.0613281657134
du24,0.850253278584,0.0257717214158,0.123975
du25,0.819513587312,0.10510150267,0.075384910018
du26,0.474535719558,0.161790868897,0.363673411545
du27,0.614402925569,0.159940854935,0.225656219496
du28,0.607075986173,0.123121242211,0.269802771616
du29,0.930125162656,0.0231936160648,0.0466812212787
du30,0.742062079249,0.131290582042,0.12664733871
du31,0.748649933037,0.0945085058077,0.156841561155
du32,0.651304597252,0.211613408287,0.137081994461
du33,0.928002238858,0.0204191114269,0.0515786497149
du34,0.544477257955,0.134380204561,0.321142537484
du35,0.396628621178,0.228121629759,0.375249749063
du36,0.831393659094,0.039977942162,0.128628398744
du37,0.732810009703,0.139626769879,0.127563220418
du38,0.915195763344,0.00895147153986,0.0758527651157
du39,0.899949266201,0.0708065980812,0.0292441357181
du40,0.726682014091,0.17129147817,0.102026507739
du41,0.96912564681,0.0133473903438,0.0175269628463
du42,0.57550513873,0.213244522716,0.211250338554
du43,0.782594334454,0.0470326119078,0.170373053638
du44,0.719900426527,0.100958592289,0.179140981184
du45,0.937361861472,0.0221985991786,0.0404395393495
du46,0.567937276755,0.193065835332,0.238996887913
du47,0.960983231242,0.00482463811043,0.0341921306471
du48,0.860805491479,0.0538468781103,0.0853476304108
du49,0.552618950241,0.0875738226864,0.359807227072
du50,0.982130095685,0.0109439519339,0.00692595238095
du51,0.96166990121,0.0166654007104,0.0216646980797
du52,0.988748075291,0.00204910958323,0.00920281512605
du53,0.920454994753,0.0475852202224,0.0319597850244
du54,0.771049103081,0.140141465071,0.0888094318483
du55,0.916066912504,0.0505492105868,0.0333838769097
du56,0.566824239421,0.309958397527,0.123217363053
du57,0.722101600456,0.0717605406513,0.206137858893
du58,0.964416223446,0.0191558633884,0.0164279131653
du59,0.873222443957,0.0831019982674,0.0436755577756
du60,0.941186970807,0.0222135203685,0.0365995088245
du61,0.817714884024,0.058637411919,0.123647704057
du62,0.909623720128,0.0396006018981,0.0507756779742
du63,0.787370527722,0.146209419071,0.0664200532079
du64,0.77765852027,0.0373662179797,0.18497526175
du65,0.839408137635,0.0708501137871,0.0897417485782
du66,0.923636274048,0.0424930879996,0.0338706379526
du67,0.905157826462,0.0265939606234,0.0682482129149
du68,0.864801320621,0.0577935739938,0.0774051053852
du69,0.544486376746,0.33306532686,0.122448296394
du70,0.909093437324,0.0136526155452,0.0772539471309
du71,0.591339832173,0.164143800554,0.244516367272
du72,0.782894340403,0.0546825491704,0.162423110426
du73,0.967253738513,0.0101757852966,0.0225704761905
du74,0.928896661672,0.0483987989788,0.0227045393495
