id,DD,CO,TD
2865,0.808202048141,0.166231440413,0.0255665114461
4398,0.0246184148866,0.515768318005,0.459613267108
5033,0.941487943593,0.0131374683428,0.0453745880642
10893,0.125482433648,0.310610046245,0.563907520107
11097,0.518922121269,0.0444658658036,0.436612012927
20690,0.0187479606889,0.374871767969,0.606380271342
20930,0.0152849648569,0.433389971221,0.551325063923
21088,0.0317595825402,0.529028066422,0.439212351038
27316,0.0497688257735,0.178820708774,0.771410465452
37776,0.0406969441046,0.586962773148,0.372340282747
38532,0.0221970342265,0.354746849156,0.623056116618
47345,0.0759357549503,0.202770984091,0.721293260959
50052,0.0613715925382,0.261355513917,0.677272893545
50723,0.300398619892,0.204682377171,0.494919002937
51184,0.541115364186,0.403752498765,0.0551321370493
56681,0.0898295542857,0.161826509402,0.748343936312
58498,0.528993925713,0.04966654388,0.421339530407
69556,0.494523978922,0.125444023565,0.380031997513
70724,0.0855224372126,0.227994934403,0.686482628385
70748,0.0122283219223,0.408901157786,0.578870520292
75242,0.808378793123,0.144090822622,0.0475303842548
79567,0.0175008431484,0.461171980888,0.521327175963
81893,0.0317928203257,0.257243563219,0.710963616455
81902,0.130831943133,0.170860222648,0.698307834219
87808,0.188728663377,0.334764505442,0.47650683118
109041,0.0927868238431,0.353558465095,0.553654711062
110486,0.0201762641962,0.294786743489,0.685036992315
112193,0.0901573320635,0.160623499634,0.749219168302
113435,0.0096656932803,0.152477390605,0.837856916114
118184,0.82661643002,0.121644921199,0.0517386487814
120422,0.0766518872942,0.164718523845,0.758629588861
121506,0.0688270567372,0.101824529464,0.829348413799
130319,0.0202263546622,0.400412768183,0.579360877155
130452,0.0878583335389,0.30497407718,0.607167589281
133256,0.0749935885928,0.195310050796,0.729696360612
133464,0.0197036392934,0.365799772975,0.614496587732
135275,0.0169850413126,0.477782121846,0.505232836841
135762,0.0787025376341,0.160924343088,0.760373119278
139044,0.0743521981872,0.54419925786,0.381448543953
149544,0.00918188081969,0.289434201455,0.701383917725
151155,0.0633868600776,0.646898971888,0.289714168034
151959,0.00892642833535,0.303948338061,0.687125233604
152075,0.0138536135824,0.206755365185,0.779391021232
159585,0.00689321282797,0.207260759694,0.785846027478
159953,0.523025969435,0.0650411780037,0.411932852561
160041,0.0727038440413,0.332824497341,0.594471658618
162291,0.0307129111451,0.631695177394,0.337591911461
165809,0.233938737107,0.306722642797,0.459338620095
165892,0.241278153601,0.22970891922,0.529012927179
167001,0.116639040186,0.210033723226,0.673327236588
169779,0.388454598602,0.371001488982,0.240543912416
176109,0.737356090721,0.23475542818,0.0278884810984
180161,0.0510399089402,0.46939726023,0.47956283083
182040,0.45557422002,0.0656636334927,0.478762146487
185195,0.139692935864,0.289144267403,0.571162796732
191787,0.602666664265,0.0206040365563,0.376729299179
193269,0.0618831584644,0.333974079486,0.60414276205
216487,0.025703058107,0.259826651679,0.714470290214
221331,0.0874736493134,0.398478944065,0.514047406622
221807,0.0555920648639,0.712227231036,0.2321807041
222768,0.287919873708,0.171236797251,0.540843329042
223310,0.857657557269,0.0496619695254,0.0926804732053
226120,0.0188517448434,0.445197781975,0.535950473182
227993,0.0738559579214,0.365888247067,0.560255795011
228551,0.0504929948162,0.532972278537,0.416534726647
229717,0.748388260859,0.161831562315,0.0897801768257
5477,0.0203391229932,0.666478767074,0.313182109933
7374,0.18381037787,0.338920965482,0.477268656648
9790,0.835355157026,0.127080384372,0.0375644586026
15924,0.494005508081,0.0291786075379,0.476815884381
26115,0.263797938291,0.216152791072,0.520049270637
26179,0.242960361877,0.219977598944,0.537062039179
38524,0.0344354389892,0.613549013805,0.352015547206
45341,0.0794276296095,0.490101989349,0.430470381042
45391,0.0694206895778,0.369538305814,0.561041004608
49545,0.0148231756299,0.723716728655,0.261460095715
49905,0.792638983524,0.141520163723,0.0658408527529
58591,0.124305481044,0.169664311343,0.706030207613
68706,0.758685798189,0.158145467673,0.0831687341379
69102,0.0684828900706,0.102011196131,0.829505913799
70322,0.0588325591789,0.110561137891,0.83060630293
72685,0.0861475151892,0.338569058557,0.575283426253
72703,0.0663941960544,0.339483369997,0.594122433949
82003,0.993414699474,0.0030418856187,0.00354341490716
85151,0.0130567039264,0.211207120764,0.775736175309
85202,0.0258542569641,0.332868941944,0.641276801092
92230,0.878960678914,0.0611607546269,0.059878566459
95183,0.179566595526,0.401316643977,0.419116760498
103596,0.0335507573738,0.344230903367,0.622218339259
113504,0.566682566572,0.350381067622,0.082936365806
115624,0.0174404067122,0.590893447614,0.391666145673
117636,0.0236003819167,0.305168384397,0.671231233686
117692,0.0432979468431,0.600049405338,0.356652647818
118080,0.0779909584678,0.0789810402278,0.843028001304
123785,0.840812239491,0.140707435554,0.0184803249549
126108,0.0184519004397,0.429545408376,0.552002691184
132274,0.499832417601,0.446370368301,0.0537972140973
139382,0.493154922136,0.134060332117,0.372784745746
141546,0.070271628078,0.312595918041,0.617132453881
143991,0.0101589703217,0.15890885926,0.830932170418
145347,0.0577013620334,0.287842682971,0.654455954996
148256,0.0255069959542,0.449427851597,0.525065152449
158174,0.022802345505,0.424285115923,0.552912538572
163372,0.524165675568,0.0512890615518,0.42454526288
167828,0.896624206937,0.0764920258909,0.0268837671722
174677,0.495526132669,0.0480870263954,0.456386840936
174725,0.994829016128,0.00141084665766,0.00376013721421
178662,0.856451093416,0.0511902092926,0.0923586972917
179792,0.0603348158054,0.465931681099,0.473733503096
183276,0.439261292703,0.440643364643,0.120095342655
186956,0.0262120225081,0.25339243314,0.720395544352
187035,0.0382300708369,0.375091148252,0.586678780911
188774,0.0524492698761,0.357713138272,0.589837591852
196230,0.0256075858061,0.467151739633,0.507240674561
198672,0.0280235778922,0.568145057692,0.403831364415
