Features,Sensitivity,Specificity,MCC,AUC
000000000000,0.4533213238374526,0,0,0.06776740740740742
000000000001,0.6176470588235291,0.5877862595419853,0.16687608456773717,0.2897925925925926
000000000010,0.5540540540540535,0.6263736263736268,0.18021371334330383,0.36689481481481484
000000000011,0.5744680851063827,0.7042253521126759,0.2771200550710558,0.4647111111111111
000000000100,0.6231884057971014,0.666666666666667,0.28713701443102135,0.4293244444444443
000000000101,0.5954875575491108,0.6921861471861469,0.287411552617095,0.5288088888888889
000000000110,0.8108108108108114,0.6484375,0.3846817012300706,0.5028237037037036
000000000111,0.7604846278041277,0.6747190852894773,0.3987189814847462,0.5966488888888889
000000001000,0.6417291731880465,0.6735428236241587,0.3106608395635307,0.56872
000000001001,0.5608431247090088,0.6309871686589261,0.1907075838976674,0.5058992592592593
000000001010,0.6103538255224507,0.7136452722131387,0.32348319825521926,0.6534962962962965
000000001011,0.6154584498897724,0.6799574095618608,0.29382457568138654,0.648411851851852
000000001100,0.6037509338037769,0.6584563551078584,0.2556761573701818,0.5642562962962964
000000001101,0.5139975145750233,0.5869132444352912,0.09943599898776861,0.5002162962962963
000000001110,0.7202310847774551,0.6979507816759556,0.40386265365542107,0.6499170370370371
000000001111,0.6182780370411035,0.6806287975833994,0.2976825318635333,0.6413807407407407
000000010000,0.592592592592592,0.612612612612612,0.1933725639899819,0.37223999999999996
000000010001,0.5518428322003119,0.6355078676200587,0.18774060529624642,0.43734222222222224
000000010010,0.5653617669459251,0.721577868852459,0.28055330310485355,0.5345718518518521
000000010011,0.5574173971856091,0.7259185656899195,0.27134494845432827,0.58096
000000010100,0.6277254901960784,0.74765,0.37568716898002263,0.5852414814814817
000000010101,0.5955163333383033,0.724568310363212,0.3180729329664353,0.6021748148148147
000000010110,0.7025775624049476,0.7002981720381087,0.39331176017807074,0.6367940740740742
000000010111,0.72007820848131,0.7515830808171663,0.46941778571155834,0.6450192592592592
000000011000,0.5968466821274719,0.6610336631053871,0.2564495160829501,0.5943940740740742
000000011001,0.5411997591301337,0.6375924770762676,0.17903977378230856,0.5625214814814815
000000011010,0.6209678374315828,0.6794935447185232,0.2983122369821691,0.6488711111111111
000000011011,0.6301589748214781,0.7075010712535107,0.3360528512311985,0.6543377777777777
000000011100,0.7126601071609074,0.6376908697686764,0.30925085814710535,0.5909688888888888
000000011101,0.575992515137355,0.5986402018621739,0.16037882811810242,0.553182222222222
000000011110,0.65364594552449,0.6804123688281696,0.3280839685388589,0.6534222222222222
000000011111,0.6611066257280693,0.6943471573924941,0.35094306740513176,0.6646222222222223
000000100000,0.6107788913088492,0.7048460049458963,0.3088360390595086,0.7086237037037039
000000100001,0.5904790557324814,0.723511925644494,0.31092321430272934,0.7089866666666665
000000100010,0.6022742311190739,0.697096259204524,0.30003761189088113,0.6863807407407407
000000100011,0.6004881612623365,0.7375162236306143,0.3355095191551124,0.7155466666666667
000000100100,0.5875987670878765,0.6665374712764592,0.25368448805141364,0.6831303703703702
000000100101,0.5908850644665372,0.6998574600838701,0.2887770967426535,0.6956385185185187
000000100110,0.6487915716501105,0.7005797328423959,0.346670293957631,0.7360177777777777
000000100111,0.6616657056221795,0.7477691105065845,0.40888983150780583,0.7825807407407406
000000101000,0.5788531846660713,0.687023901828571,0.26550673551859794,0.6482903703703704
000000101001,0.5910810589412129,0.6785307085453414,0.2697378934127285,0.6488296296296296
000000101010,0.6580649169350701,0.7010827169487195,0.3554001998081035,0.7078637037037034
000000101011,0.681981763631578,0.7064374277176819,0.3795538026388872,0.73328
000000101100,0.570299714696373,0.6366088733298764,0.20505546653442192,0.6310607407407408
000000101101,0.553123757713993,0.6442075988528366,0.19308554225164465,0.6341185185185185
000000101110,0.6533638681666389,0.686243933319119,0.3343118032891823,0.6985481481481483
000000101111,0.6852363313012826,0.6983824729700453,0.37291691115994346,0.7292266666666666
000000110000,0.6918648067936943,0.7154963802816404,0.3985653395353804,0.7421925925925926
000000110001,0.6147282077769346,0.712859930498169,0.3277660440883045,0.7113303703703706
000000110010,0.5888853075201345,0.706584605300241,0.2928631753786728,0.682900740740741
000000110011,0.5822207464588863,0.6955153867629713,0.27601635258701596,0.6843051851851853
000000110100,0.5960780631077587,0.6740687789971856,0.27008879032857463,0.6822637037037036
000000110101,0.6274726591395858,0.6869880543004223,0.3133312469791003,0.6961274074074073
000000110110,0.6645462726208169,0.686171295260569,0.34399493037102874,0.7179940740740741
000000110111,0.7242030505691869,0.7033288420365467,0.4129620505414496,0.7474548148148149
000000111000,0.6687863200642616,0.7132141468021327,0.37958385715665216,0.722548148148148
000000111001,0.6400378733482881,0.7018970247985672,0.33889497549867187,0.7099674074074076
000000111010,0.6438786602287052,0.6887853437868025,0.3283192265365262,0.6870103703703703
000000111011,0.6488172676974596,0.6839477138377044,0.32743464417129226,0.6970192592592592
000000111100,0.6519281200232606,0.6921652052218371,0.3411793869176945,0.692376296296296
000000111101,0.6547408755998728,0.6947047535017815,0.3462247456857755,0.6906992592592596
000000111110,0.6620112048646817,0.6951889454699048,0.3505438989916072,0.7048859259259258
000000111111,0.6758153919586269,0.7087847286868574,0.3795906594030556,0.7208562962962966
000001000000,0.8160000000000003,0.5594127221936112,0.14245268501962996,0.16993185185185175
000001000001,0.6443620058102817,0.5834986390561605,0.17060797731775526,0.277757037037037
000001000010,0.5240147679546747,0.606799186006921,0.1310955216773022,0.3578518518518519
000001000011,0.561057629189186,0.6767018643776307,0.23741246188419945,0.455351111111111
000001000100,0.614513936417596,0.6632131372448979,0.2756332165017596,0.43993185185185174
000001000101,0.5833648771346404,0.6740997570332881,0.2585079756666968,0.48632888888888887
000001000110,0.7689147457568513,0.6430881147306884,0.3517883394158282,0.5145481481481482
000001000111,0.7410779764825106,0.6909717418721268,0.4100109746858294,0.578562962962963
000001001000,0.6315723375828253,0.6834582950978294,0.3135984715954004,0.5719377777777779
000001001001,0.572093386649067,0.6430408424903626,0.21422787490393527,0.5122192592592594
000001001010,0.5858831072236979,0.7278093463548742,0.30961543186661333,0.6598474074074074
000001001011,0.6230414484025834,0.6807803128588277,0.3016490755934828,0.6485599999999999
000001001100,0.6187795254813879,0.6584427812891669,0.2731919219198202,0.5614044444444446
000001001101,0.5443178690476813,0.6037510950767494,0.14494299264412075,0.5082607407407409
000001001110,0.7070232994032628,0.6829747409913268,0.37332975386187234,0.6645540740740741
000001001111,0.628536325790102,0.6894088172469552,0.31712045103011804,0.6482725925925926
000001010000,0.5978427340928039,0.6277843665768197,0.2181332788700954,0.39030814814814824
000001010001,0.5578082404599161,0.6197110164381971,0.17540315127670333,0.44158222222222215
000001010010,0.5579456624561288,0.7295073012588036,0.27699887640426973,0.5313125925925926
000001010011,0.5527461720136518,0.7291582677048071,0.2686029273337843,0.5657451851851852
000001010100,0.5914628270773026,0.7084363996683681,0.299297818367401,0.5841777777777777
000001010101,0.5914503867163119,0.693315834616001,0.28291982311764874,0.5866785185185186
000001010110,0.7228855433633002,0.7079843505810842,0.4193919892998933,0.6602281481481481
000001010111,0.7208404056496954,0.7531513465212466,0.47223597599412254,0.6478933333333332
000001011000,0.5588425695718108,0.6662506007426658,0.22505599527189538,0.5875140740740741
000001011001,0.5388208345046563,0.6388365282391858,0.1775825587427976,0.5595733333333334
