features,Sen_DD,Sen_std_DD,Sen_CO,Sen_std_CO,Sen_TD,Sen_std_TD,Spe_DD,Spe_std_DD,Spe_CO,Spe_std_CO,Spe_TD,Spe_std_TD,geom_mean,geom_mean_std
"f001100110",0.645800,0.027719,0.430200,0.017145,0.605600,0.022375,0.535400,0.020121,0.548200,0.033448,0.600800,0.011461,0.556395,0.020844
"f001100111",0.733200,0.016904,0.466000,0.028566,0.664200,0.036005,0.620200,0.022135,0.600800,0.032486,0.643200,0.015930,0.615535,0.024166
"f001101000",0.454600,0.020514,0.391400,0.039090,0.602000,0.017436,0.440400,0.022087,0.491200,0.026202,0.526000,0.013565,0.479722,0.021881
"f001101001",0.559600,0.018864,0.486200,0.026373,0.444400,0.020314,0.527400,0.013238,0.513200,0.017022,0.448400,0.016292,0.494796,0.018263
"f001101010",0.560600,0.019739,0.280600,0.023699,0.632800,0.015626,0.475800,0.019297,0.417800,0.027517,0.565200,0.016881,0.472898,0.020078
"f001101011",0.649200,0.015980,0.441400,0.015233,0.565600,0.014023,0.570800,0.011285,0.496200,0.013984,0.578000,0.010954,0.546133,0.013443
"f001101100",0.596800,0.028456,0.472000,0.012000,0.604400,0.019200,0.507400,0.016347,0.568800,0.019041,0.607400,0.013388,0.556946,0.017355
"f001101101",0.707000,0.024515,0.520000,0.034351,0.579200,0.022789,0.563800,0.015734,0.628800,0.021600,0.620800,0.021056,0.600445,0.022714
"f001101110",0.639600,0.024410,0.421600,0.018150,0.591400,0.030067,0.521000,0.020712,0.555200,0.027440,0.585200,0.017803,0.547705,0.022644
"f001101111",0.725200,0.017577,0.462200,0.028865,0.646000,0.040000,0.611400,0.025457,0.592600,0.031611,0.628800,0.018936,0.605601,0.026005
"f001110000",0.590200,0.021212,0.489000,0.018894,0.496400,0.018521,0.624600,0.018677,0.516600,0.016076,0.455600,0.016390,0.525509,0.018216
"f001110001",0.634200,0.017446,0.608600,0.024739,0.566400,0.020076,0.635400,0.022379,0.597200,0.018004,0.573800,0.019687,0.602007,0.020239
"f001110010",0.613000,0.013892,0.497400,0.026819,0.554200,0.033412,0.639600,0.021350,0.529400,0.022397,0.512200,0.019109,0.555257,0.022012
"f001110011",0.682200,0.016036,0.553800,0.010750,0.594200,0.011677,0.624600,0.013742,0.616600,0.018397,0.587800,0.009652,0.608610,0.013038
"f001110100",0.605600,0.020510,0.533600,0.024063,0.596600,0.017391,0.626800,0.018159,0.567200,0.016497,0.555000,0.014595,0.579928,0.018297
"f001110101",0.693600,0.021425,0.585400,0.018353,0.559800,0.025099,0.594200,0.018231,0.685200,0.022112,0.569600,0.014827,0.612330,0.019730
"f001110110",0.636600,0.013055,0.521200,0.018616,0.670800,0.032301,0.677800,0.017696,0.597000,0.026249,0.580800,0.013242,0.611544,0.019083
"f001110111",0.720600,0.015021,0.539800,0.030691,0.689400,0.020824,0.691400,0.024739,0.667000,0.022561,0.613200,0.015025,0.650593,0.020780
"f001111000",0.584400,0.018128,0.521400,0.015233,0.492200,0.017583,0.635400,0.017113,0.511200,0.018616,0.467600,0.012419,0.532422,0.016365
"f001111001",0.600800,0.018422,0.599000,0.021564,0.556400,0.023644,0.618800,0.023293,0.593600,0.020076,0.548600,0.018548,0.585653,0.020821
"f001111010",0.613200,0.014892,0.492400,0.023627,0.557800,0.027003,0.631600,0.023947,0.541800,0.019564,0.508600,0.017551,0.555277,0.020676
"f001111011",0.666800,0.018049,0.564000,0.022450,0.576800,0.019436,0.595000,0.012042,0.610800,0.023903,0.597200,0.013571,0.600905,0.017701
"f001111100",0.590400,0.018757,0.538600,0.033586,0.603200,0.018269,0.629400,0.022839,0.571200,0.024053,0.549800,0.017262,0.579605,0.021861
"f001111101",0.693800,0.021061,0.584600,0.013298,0.568400,0.025089,0.600000,0.019079,0.683000,0.021471,0.573400,0.013800,0.615124,0.018472
"f001111110",0.629600,0.016608,0.514800,0.017116,0.664000,0.030332,0.648800,0.023034,0.593800,0.026525,0.584200,0.012975,0.603760,0.020221
"f001111111",0.708800,0.015702,0.549000,0.027000,0.671400,0.027277,0.687400,0.021616,0.653200,0.029288,0.607200,0.016738,0.643839,0.022287
"f010000000",0.031600,0.003666,0.035600,0.005352,0.774400,0.021369,0.123800,0.043492,0.225600,0.038114,0.330800,0.005600,0.141565,0.012542
"f010000001",0.876400,0.005919,0.561000,0.008544,0.036000,0.005657,0.429800,0.001400,0.527600,0.008139,0.476000,0.071582,0.352255,0.007846
"f010000010",0.359800,0.038026,0.075400,0.019617,0.569400,0.002375,0.284200,0.024987,0.088800,0.022328,0.628400,0.005044,0.250142,0.013070
"f010000011",0.804200,0.004936,0.441000,0.007550,0.500000,0.000000,0.614200,0.004936,0.488800,0.005879,0.611000,0.007550,0.564992,0.000000
"f010000100",0.604600,0.016274,0.410600,0.027958,0.542800,0.033409,0.534800,0.023853,0.495600,0.021369,0.525600,0.016512,0.515526,0.022447
"f010000101",0.640600,0.012555,0.504400,0.020991,0.556600,0.018288,0.578200,0.009938,0.566000,0.014142,0.554400,0.013588,0.565289,0.014477
"f010000110",0.605400,0.018134,0.455000,0.024187,0.623400,0.011595,0.505600,0.015641,0.559600,0.018650,0.631000,0.015264,0.559443,0.016820
"f010000111",0.721000,0.015133,0.511800,0.027327,0.688800,0.007111,0.643600,0.008890,0.637600,0.019956,0.647000,0.015395,0.638067,0.014151
"f010001000",0.155800,0.008022,0.120000,0.002828,0.833000,0.006083,0.544200,0.026007,0.423200,0.015158,0.380600,0.002375,0.333064,0.007110
"f010001001",0.176400,0.012126,0.566000,0.004899,0.204800,0.027874,0.220200,0.015426,0.517400,0.005589,0.188000,0.021726,0.275576,0.012076
"f010001010",0.367000,0.004583,0.566000,0.036824,0.512800,0.005671,0.567800,0.031323,0.351000,0.015264,0.663000,0.010440,0.491369,0.012978
"f010001011",0.791800,0.009315,0.462600,0.023564,0.490000,0.010198,0.581400,0.004477,0.496400,0.014800,0.642600,0.017299,0.567167,0.011700
"f010001100",0.547600,0.011926,0.518600,0.013858,0.543800,0.018643,0.514800,0.014865,0.520000,0.011662,0.574000,0.011832,0.536062,0.013597
"f010001101",0.629400,0.022397,0.503800,0.016111,0.521600,0.017477,0.554200,0.016136,0.551200,0.017736,0.545200,0.015778,0.549552,0.017475
"f010001110",0.610000,0.016852,0.449200,0.043719,0.596000,0.011832,0.500600,0.020824,0.545800,0.021826,0.615800,0.014435,0.549326,0.019629
"f010001111",0.700200,0.020148,0.515600,0.008980,0.621800,0.012914,0.639200,0.011973,0.567800,0.013159,0.625400,0.010993,0.608877,0.012624
"f010010000",0.525000,0.020322,0.372400,0.028253,0.439600,0.024245,0.582000,0.016125,0.376000,0.021633,0.404400,0.017339,0.443464,0.020936
"f010010001",0.607200,0.013121,0.568600,0.012330,0.524800,0.011179,0.638600,0.012492,0.585200,0.010628,0.494400,0.012831,0.567707,0.012063
"f010010010",0.613600,0.015844,0.556600,0.016566,0.624600,0.010433,0.711400,0.018001,0.537400,0.011101,0.578200,0.008412,0.601063,0.012898
"f010010011",0.657600,0.011926,0.568200,0.018835,0.609800,0.012081,0.690600,0.012870,0.591000,0.010630,0.570600,0.009677,0.613008,0.012376
"f010010100",0.643400,0.014087,0.578200,0.028684,0.587000,0.016523,0.654800,0.012040,0.577000,0.018138,0.578600,0.013418,0.602296,0.016415
"f010010101",0.650800,0.010741,0.553600,0.032047,0.572800,0.017093,0.625000,0.023173,0.597400,0.018090,0.557200,0.014288,0.591744,0.018107
"f010010110",0.687400,0.013238,0.489600,0.018326,0.678000,0.020494,0.693800,0.011982,0.599600,0.024573,0.583200,0.012875,0.617351,0.016313
"f010010111",0.717000,0.018682,0.530400,0.040594,0.662400,0.019345,0.693800,0.022618,0.615200,0.023259,0.609600,0.016488,0.634975,0.022427
"f010011000",0.516000,0.011314,0.372400,0.022321,0.518400,0.025168,0.643400,0.013654,0.378400,0.018150,0.440200,0.014627,0.469247,0.016869
"f010011001",0.602400,0.019855,0.552000,0.018655,0.532800,0.020595,0.642400,0.015819,0.571800,0.015709,0.494400,0.015513,0.563966,0.017569
"f010011010",0.594400,0.006375,0.526800,0.016546,0.667800,0.019109,0.709400,0.013915,0.529600,0.014136,0.583600,0.011092,0.598257,0.012800
"f010011011",0.683000,0.013892,0.596800,0.012238,0.623400,0.019454,0.699400,0.017136,0.613000,0.015264,0.600200,0.011044,0.634721,0.014567
"f010011100",0.625000,0.018248,0.552600,0.027482,0.563800,0.017764,0.629400,0.013025,0.570400,0.018969,0.545400,0.014589,0.580149,0.017828
"f010011101",0.657000,0.014457,0.553600,0.029783,0.589400,0.015545,0.623200,0.019125,0.620800,0.024482,0.563400,0.014087,0.600152,0.018800
"f010011110",0.689800,0.014351,0.504800,0.022203,0.697800,0.017238,0.698200,0.014925,0.620000,0.019799,0.599000,0.013000,0.630805,0.016623
"f010011111",0.712800,0.019291,0.554200,0.024907,0.672000,0.017776,0.692200,0.020619,0.640200,0.021212,0.615600,0.019407,0.645617,0.020420
"f010100000",0.250000,0.000000,0.387800,0.011539,0.670800,0.006882,0.530400,0.001960,0.427400,0.005589,0.441600,0.004176,0.432117,0.000000
"f010100001",0.404000,0.006928,0.482200,0.023689,0.338800,0.012432,0.370600,0.006453,0.519200,0.015211,0.346600,0.010698,0.404828,0.011354
"f010100010",0.363800,0.007972,0.286400,0.035313,0.705400,0.023342,0.614600,0.055793,0.399800,0.041012,0.449000,0.009434,0.448221,0.022837
"f010100011",0.793800,0.009775,0.350400,0.025997,0.545600,0.008980,0.604600,0.005370,0.459600,0.016366,0.585000,0.013153,0.539542,0.011755
"f010100100",0.542200,0.015785,0.394000,0.018868,0.610800,0.018638,0.475800,0.014979,0.492600,0.015467,0.583400,0.013507,0.511179,0.016093
"f010100101",0.633000,0.013892,0.550000,0.011662,0.605000,0.020905,0.558200,0.015191,0.622400,0.016439,0.612800,0.012172,0.596051,0.014749
"f010100110",0.572200,0.020029,0.372400,0.050658,0.640800,0.023566,0.467200,0.024003,0.553600,0.033631,0.591800,0.022243,0.524838,0.027466
"f010100111",0.691600,0.016657,0.479000,0.024515,0.689000,0.024597,0.637200,0.023498,0.593000,0.027803,0.631000,0.016763,0.615595,0.021889
"f010101000",0.296200,0.011814,0.371200,0.033084,0.641200,0.012750,0.516200,0.029454,0.399200,0.023566,0.456200,0.005963,0.433403,0.016560
"f010101001",0.457600,0.015041,0.461600,0.023096,0.346200,0.030587,0.413600,0.017973,0.498200,0.013220,0.357400,0.018310,0.418668,0.018944
"f010101010",0.443600,0.007684,0.309400,0.015926,0.660000,0.022539,0.643400,0.020358,0.377800,0.019625,0.466800,0.009042,0.466289,0.014669
"f010101011",0.795800,0.014295,0.380200,0.021954,0.513800,0.006896,0.581400,0.008002,0.468400,0.014051,0.608200,0.012758,0.543406,0.012078
"f010101100",0.498800,0.013659,0.404200,0.014155,0.644000,0.019494,0.462200,0.014323,0.507400,0.015976,0.585000,0.013304,0.511043,0.015018
"f010101101",0.662400,0.014637,0.520000,0.022271,0.624200,0.018231,0.583600,0.012611,0.610800,0.021433,0.619000,0.017464,0.601671,0.017431
"f010101110",0.569200,0.013393,0.343400,0.026878,0.639400,0.029760,0.511800,0.027400,0.479600,0.032800,0.561000,0.021471,0.508117,0.024316
"f010101111",0.709800,0.015810,0.440800,0.043213,0.686200,0.031616,0.644800,0.021094,0.572400,0.034673,0.621000,0.025000,0.605351,0.027087
"f010110000",0.522400,0.008381,0.402400,0.021030,0.439200,0.020769,0.542600,0.018634,0.435400,0.017912,0.403000,0.013454,0.454290,0.015946
"f010110001",0.570800,0.021985,0.592800,0.011669,0.457600,0.019855,0.513200,0.015289,0.595200,0.016762,0.502800,0.015367,0.536254,0.016484
"f010110010",0.592400,0.004271,0.553200,0.015677,0.629800,0.022315,0.634400,0.017107,0.574000,0.016733,0.579600,0.010947,0.593176,0.012934
"f010110011",0.673800,0.018209,0.569000,0.010817,0.632000,0.024658,0.669200,0.016594,0.598600,0.013713,0.612600,0.011800,0.624748,0.015342
"f010110100",0.627600,0.015692,0.541000,0.019925,0.617600,0.020646,0.631600,0.012387,0.601200,0.021320,0.568400,0.011200,0.596967,0.016349
"f010110101",0.650000,0.022539,0.556600,0.035755,0.591000,0.016279,0.580600,0.025331,0.635400,0.025784,0.587600,0.016919,0.599342,0.022920
"f010110110",0.674000,0.016000,0.482000,0.016248,0.720200,0.019441,0.714600,0.020805,0.608000,0.020494,0.592400,0.010688,0.626071,0.016868
"f010110111",0.713000,0.013601,0.522400,0.026500,0.707600,0.018062,0.700800,0.025206,0.653400,0.021034,0.614800,0.012528,0.648233,0.018735
"f010111000",0.548000,0.016248,0.456200,0.023400,0.486000,0.010583,0.588600,0.015101,0.463600,0.019262,0.452400,0.012419,0.496603,0.015622
"f010111001",0.547000,0.015524,0.547000,0.013304,0.503400,0.022415,0.524600,0.016151,0.584800,0.014034,0.493800,0.016111,0.532573,0.016020
"f010111010",0.604600,0.008991,0.547600,0.014221,0.622200,0.019214,0.695000,0.013601,0.535600,0.017107,0.573800,0.009357,0.594166,0.013224
"f010111011",0.681600,0.015538,0.556200,0.019889,0.611600,0.021294,0.652000,0.018974,0.594000,0.016971,0.602600,0.017299,0.615010,0.018226
"f010111100",0.602000,0.021354,0.551800,0.028262,0.623400,0.019658,0.633600,0.018843,0.593600,0.021049,0.567800,0.012213,0.594668,0.019644
"f010111101",0.650200,0.015683,0.570400,0.026530,0.592600,0.013238,0.593200,0.017256,0.647600,0.018500,0.582000,0.012806,0.605206,0.016804
"f010111110",0.643000,0.020025,0.487200,0.019600,0.721000,0.018894,0.708400,0.018478,0.587400,0.024479,0.592200,0.012376,0.617906,0.018608
"f010111111",0.711800,0.016696,0.529600,0.028842,0.705800,0.018231,0.691000,0.021840,0.656600,0.021782,0.622400,0.015692,0.649590,0.020079
"f011000000",0.566400,0.013381,0.326200,0.018427,0.500000,0.020100,0.511600,0.016415,0.366400,0.014389,0.500600,0.015416,0.453237,0.016195
"f011000001",0.592000,0.012490,0.491200,0.007652,0.405000,0.020125,0.547800,0.012851,0.525600,0.014988,0.411600,0.014051,0.490680,0.013165
"f011000010",0.612200,0.012695,0.279000,0.029749,0.589400,0.017822,0.582200,0.024107,0.383000,0.030216,0.498400,0.010072,0.472926,0.019154
"f011000011",0.644200,0.019808,0.447400,0.013388,0.542000,0.013416,0.547800,0.011539,0.527400,0.013238,0.555600,0.010984,0.541012,0.013469
"f011000100",0.589400,0.024365,0.464200,0.028642,0.517200,0.023752,0.492200,0.021752,0.511200,0.016327,0.568800,0.019661,0.522089,0.022076
"f011000101",0.728200,0.018729,0.459600,0.028842,0.509200,0.010925,0.547400,0.011456,0.558000,0.015748,0.584800,0.016278,0.558784,0.016087
"f011000110",0.680400,0.029118,0.451000,0.027946,0.594200,0.032068,0.567400,0.021053,0.565200,0.036400,0.595400,0.018784,0.571429,0.026861
"f011000111",0.748000,0.022091,0.471600,0.023610,0.592000,0.025456,0.627200,0.023668,0.543200,0.017486,0.625200,0.024514,0.595247,0.022641
"f011001000",0.474200,0.017446,0.408800,0.020846,0.517400,0.027627,0.464400,0.016871,0.470800,0.020961,0.474400,0.017794,0.467228,0.019959
"f011001001",0.552000,0.013565,0.500400,0.014961,0.414800,0.013303,0.499000,0.014318,0.535600,0.016020,0.432000,0.010770,0.486318,0.013720
"f011001010",0.598600,0.017322,0.325400,0.023766,0.580600,0.013477,0.575000,0.018248,0.408400,0.020036,0.508800,0.009086,0.488040,0.016253
"f011001011",0.665600,0.017906,0.442000,0.016733,0.544400,0.010800,0.532800,0.008495,0.539400,0.015800,0.579400,0.012714,0.546598,0.013295
"f011001100",0.592200,0.024843,0.434000,0.021726,0.554200,0.028712,0.486800,0.018809,0.528600,0.022540,0.572200,0.018793,0.525140,0.022314
"f011001101",0.724400,0.018018,0.500000,0.035833,0.503600,0.018736,0.542800,0.018872,0.588400,0.022303,0.594800,0.021931,0.570978,0.021944
"f011001110",0.657000,0.028583,0.431800,0.031413,0.576800,0.037918,0.536000,0.023749,0.559400,0.038022,0.576600,0.023547,0.552000,0.029965
"f011001111",0.723000,0.020809,0.458000,0.022804,0.610600,0.028243,0.611200,0.020556,0.551000,0.022561,0.619200,0.019984,0.589958,0.022337
"f011010000",0.576200,0.014407,0.408400,0.029756,0.495800,0.013430,0.606200,0.016958,0.408800,0.020653,0.474200,0.017331,0.489225,0.018081
"f011010001",0.638400,0.014746,0.579600,0.013705,0.577800,0.019421,0.617400,0.019474,0.600800,0.014400,0.576000,0.015362,0.597888,0.016021
"f011010010",0.634800,0.013303,0.432400,0.019956,0.511400,0.027641,0.626400,0.016824,0.464800,0.019924,0.488200,0.017966,0.520795,0.018803
"f011010011",0.692800,0.016497,0.560600,0.026185,0.586400,0.020665,0.636000,0.018221,0.615200,0.013891,0.586000,0.014832,0.611370,0.017956
"f011010100",0.613800,0.019687,0.516400,0.024393,0.568200,0.021972,0.621200,0.020846,0.547200,0.024416,0.537800,0.014183,0.566133,0.020589
"f011010101",0.673400,0.016806,0.595200,0.018027,0.562200,0.017583,0.634200,0.019297,0.643000,0.023516,0.555600,0.014854,0.609075,0.018163
"f011010110",0.673800,0.019482,0.498400,0.017477,0.658600,0.026078,0.686200,0.017764,0.588600,0.024658,0.574600,0.011868,0.609623,0.018940
"f011010111",0.734600,0.017574,0.555200,0.035227,0.666200,0.021156,0.718800,0.020653,0.650000,0.024576,0.602400,0.016194,0.651506,0.021811
"f011011000",0.525600,0.011517,0.439600,0.021257,0.484200,0.018557,0.567400,0.018200,0.423600,0.014664,0.469800,0.015936,0.482595,0.016381
"f011011001",0.624200,0.015886,0.560400,0.017884,0.557600,0.022141,0.620200,0.018814,0.573400,0.011595,0.549400,0.015416,0.580101,0.016630
"f011011010",0.625000,0.013000,0.470400,0.021814,0.520800,0.029856,0.633400,0.017957,0.499600,0.017659,0.492200,0.016887,0.536509,0.018883
"f011011011",0.686800,0.019742,0.604200,0.021734,0.568400,0.027008,0.620400,0.016243,0.638600,0.015622,0.594400,0.018991,0.617695,0.019551
"f011011100",0.580400,0.020587,0.523200,0.031651,0.562800,0.027571,0.621800,0.023553,0.528600,0.023917,0.528600,0.019699,0.556471,0.024170
"f011011101",0.663000,0.017804,0.601800,0.026884,0.536000,0.024658,0.620200,0.017377,0.637400,0.021800,0.541800,0.016333,0.598162,0.020445
"f011011110",0.664800,0.020904,0.505600,0.016020,0.650800,0.027773,0.668600,0.020101,0.590600,0.025644,0.579600,0.012484,0.607094,0.019778
"f011011111",0.725800,0.020109,0.569800,0.034496,0.657800,0.025083,0.693600,0.020858,0.664400,0.026012,0.610400,0.019489,0.651575,0.023849
"f011100000",0.459400,0.015416,0.393200,0.008818,0.542800,0.027279,0.425000,0.013304,0.475200,0.013891,0.502200,0.017238,0.463729,0.015091
"f011100001",0.556800,0.021581,0.495800,0.016259,0.451400,0.021449,0.522800,0.014566,0.529000,0.017916,0.451600,0.013321,0.499672,0.017230
"f011100010",0.552200,0.018793,0.269400,0.010846,0.630200,0.014763,0.487400,0.017414,0.387000,0.018138,0.553600,0.017408,0.462517,0.015963
"f011100011",0.654600,0.020220,0.417600,0.016317,0.600600,0.008811,0.588000,0.013416,0.483200,0.016904,0.589600,0.007990,0.549411,0.013191
"f011100100",0.610200,0.024289,0.474000,0.016971,0.614200,0.020405,0.513400,0.020843,0.555800,0.020307,0.636600,0.016323,0.564244,0.019681
"f011100101",0.747800,0.018578,0.521000,0.035454,0.587800,0.017238,0.571200,0.014784,0.633800,0.021899,0.657600,0.021500,0.615780,0.020716
"f011100110",0.666800,0.019436,0.381600,0.043098,0.587600,0.019653,0.524200,0.025226,0.525800,0.043639,0.587600,0.015174,0.537874,0.025501
"f011100111",0.748800,0.016570,0.452400,0.028182,0.680000,0.042849,0.628000,0.023580,0.602000,0.029326,0.651000,0.019313,0.619806,0.025379
"f011101000",0.509600,0.018326,0.410800,0.019984,0.525600,0.014305,0.463600,0.013966,0.494800,0.019104,0.498000,0.016852,0.482192,0.016931
"f011101001",0.582000,0.022627,0.510000,0.019900,0.432200,0.018899,0.509000,0.019313,0.545800,0.018771,0.464400,0.015768,0.504820,0.019106
"f011101010",0.568000,0.023749,0.264600,0.015901,0.625200,0.014999,0.488600,0.019597,0.394400,0.021648,0.552400,0.017951,0.464177,0.018727
"f011101011",0.671400,0.023917,0.430200,0.014898,0.578200,0.016455,0.557800,0.014871,0.509600,0.018435,0.599800,0.011574,0.552596,0.016278
"f011101100",0.581200,0.024628,0.462800,0.016857,0.585800,0.027283,0.485000,0.021190,0.554000,0.013856,0.603000,0.016882,0.542633,0.019568
"f011101101",0.720600,0.028313,0.531400,0.034410,0.570400,0.018326,0.566000,0.019494,0.635200,0.021189,0.625400,0.022997,0.605150,0.023527
"f011101110",0.660600,0.029217,0.377000,0.043000,0.581200,0.028329,0.511400,0.026609,0.533600,0.043761,0.581200,0.015829,0.533111,0.029477
"f011101111",0.736200,0.016600,0.438600,0.026908,0.660200,0.039115,0.609600,0.022087,0.586800,0.037387,0.637400,0.016590,0.604108,0.024918
"f011110000",0.595200,0.021931,0.497800,0.032514,0.475000,0.024104,0.660200,0.021212,0.469800,0.019848,0.459800,0.021023,0.521309,0.023105
"f011110001",0.630000,0.023409,0.591800,0.019666,0.567000,0.021190,0.609000,0.020518,0.616200,0.015085,0.564800,0.019415,0.595967,0.019710
"f011110010",0.614000,0.013711,0.502800,0.020104,0.547400,0.024561,0.643800,0.019482,0.522400,0.015945,0.513600,0.012452,0.554891,0.017232
"f011110011",0.698800,0.015315,0.554400,0.012986,0.601800,0.013812,0.628600,0.012330,0.618800,0.016204,0.606000,0.011314,0.616601,0.013557
"f011110100",0.599000,0.016882,0.545800,0.030990,0.607800,0.018143,0.637800,0.027371,0.579800,0.021306,0.553600,0.014800,0.586449,0.020840
"f011110101",0.688400,0.018586,0.581600,0.019221,0.569200,0.018422,0.585600,0.016989,0.684600,0.021467,0.579800,0.014898,0.612831,0.018151
"f011110110",0.632400,0.015435,0.506200,0.022440,0.665200,0.026776,0.671200,0.021132,0.584200,0.023756,0.573400,0.014507,0.602591,0.020180
"f011110111",0.724200,0.015504,0.538200,0.019768,0.696600,0.021034,0.705200,0.018573,0.661200,0.026355,0.615400,0.011868,0.653529,0.018291
"f011111000",0.581600,0.019221,0.519800,0.020832,0.504200,0.026540,0.656600,0.019961,0.510800,0.017758,0.466800,0.017826,0.536567,0.020161
"f011111001",0.621000,0.019313,0.588400,0.016776,0.554600,0.024430,0.605200,0.021470,0.602800,0.019498,0.555200,0.018465,0.587324,0.019851
"f011111010",0.615200,0.013452,0.502400,0.030696,0.558600,0.028636,0.640600,0.020436,0.540400,0.022267,0.513400,0.015698,0.559527,0.020947
"f011111011",0.693400,0.014507,0.550600,0.013625,0.584600,0.017687,0.608200,0.013220,0.614200,0.020503,0.601800,0.014925,0.607316,0.015551
"f011111100",0.582000,0.017436,0.566200,0.033935,0.616200,0.022171,0.646400,0.023303,0.589800,0.022404,0.554000,0.015362,0.591637,0.021728
"f011111101",0.686600,0.020553,0.587000,0.018466,0.573800,0.019788,0.589600,0.019179,0.685400,0.019412,0.582400,0.013793,0.615608,0.018381
"f011111110",0.633800,0.017764,0.507200,0.018872,0.654200,0.038683,0.653000,0.023087,0.587200,0.031115,0.575800,0.018983,0.599518,0.023692
"f011111111",0.714000,0.016733,0.546200,0.024730,0.681200,0.028819,0.682000,0.020199,0.664600,0.031636,0.616000,0.014967,0.648199,0.022022
"f100000000",0.678200,0.007922,0.378800,0.016327,0.567200,0.008953,0.656000,0.010583,0.446800,0.011565,0.513400,0.008628,0.529049,0.010341
"f100000001",0.668000,0.015100,0.503200,0.021949,0.580000,0.015748,0.689000,0.011705,0.545000,0.018682,0.532000,0.011832,0.582209,0.015431
"f100000010",0.714200,0.013869,0.405600,0.018779,0.621000,0.012530,0.708600,0.008720,0.442800,0.014428,0.587400,0.011456,0.566794,0.012944
"f100000011",0.733000,0.014457,0.415000,0.011874,0.598200,0.012278,0.719400,0.011560,0.461000,0.013304,0.560800,0.011107,0.568739,0.012380
"f100000100",0.637000,0.012845,0.422800,0.015367,0.541200,0.023034,0.632000,0.017205,0.470000,0.014000,0.503400,0.014368,0.528518,0.015830
"f100000101",0.692800,0.013717,0.479800,0.016430,0.636800,0.017139,0.712800,0.013422,0.529000,0.019723,0.580600,0.009468,0.599324,0.014599
"f100000110",0.693600,0.012611,0.469000,0.023516,0.578400,0.017130,0.620600,0.011209,0.543200,0.021302,0.568800,0.015829,0.574831,0.016364
"f100000111",0.757200,0.012812,0.472200,0.033484,0.626000,0.021166,0.721000,0.018358,0.544400,0.024344,0.587800,0.017583,0.610238,0.020366
"f100001000",0.647600,0.019137,0.456400,0.022069,0.556000,0.018000,0.709800,0.009271,0.481000,0.018138,0.498200,0.013370,0.550895,0.016050
"f100001001",0.653600,0.018843,0.485400,0.016274,0.573600,0.015844,0.701800,0.009315,0.515400,0.015259,0.517200,0.014006,0.569298,0.014597
"f100001010",0.654800,0.019104,0.473600,0.019571,0.537000,0.017578,0.693600,0.015461,0.409200,0.015854,0.588000,0.013856,0.550368,0.016780
"f100001011",0.686600,0.013208,0.449200,0.014538,0.589600,0.009790,0.688000,0.012166,0.457600,0.012737,0.578400,0.011893,0.566675,0.012301
"f100001100",0.620400,0.016608,0.444400,0.020215,0.565800,0.020503,0.613000,0.014177,0.498000,0.019391,0.524600,0.014861,0.540677,0.017438
"f100001101",0.693800,0.012311,0.456600,0.020939,0.644200,0.017899,0.707400,0.016225,0.516000,0.016248,0.581000,0.012042,0.592534,0.015642
"f100001110",0.662400,0.018500,0.463400,0.020160,0.583000,0.011874,0.620200,0.013783,0.524200,0.016863,0.559600,0.012322,0.565078,0.015271
"f100001111",0.751200,0.014784,0.457600,0.021685,0.637400,0.023135,0.731800,0.020851,0.525400,0.018353,0.589600,0.016120,0.606293,0.018912
"f100010000",0.743800,0.011294,0.423600,0.029917,0.523600,0.022159,0.731000,0.010247,0.471600,0.022482,0.489800,0.018275,0.550580,0.017773
"f100010001",0.761800,0.011435,0.536400,0.017293,0.583000,0.019723,0.753400,0.014087,0.579800,0.015810,0.552800,0.013273,0.621315,0.015030
"f100010010",0.804400,0.008285,0.480000,0.022450,0.675400,0.019205,0.763000,0.013153,0.576200,0.018856,0.616600,0.012745,0.643027,0.014978
"f100010011",0.778800,0.014232,0.547200,0.034931,0.642400,0.022500,0.783000,0.014457,0.579400,0.023014,0.611800,0.019255,0.650810,0.020380
"f100010100",0.773800,0.017423,0.522200,0.022476,0.575000,0.014731,0.719200,0.013393,0.577600,0.014500,0.563000,0.011358,0.615441,0.015279
"f100010101",0.792200,0.014323,0.528800,0.019250,0.627400,0.020862,0.772800,0.014006,0.603200,0.017256,0.582800,0.015367,0.644100,0.016658
"f100010110",0.782000,0.014422,0.520000,0.021909,0.698600,0.017437,0.796000,0.014560,0.605800,0.018010,0.617000,0.014318,0.662462,0.016568
"f100010111",0.806200,0.009775,0.542600,0.030319,0.681400,0.014698,0.822400,0.017614,0.601200,0.020942,0.621400,0.017206,0.671377,0.017389
"f100011000",0.764200,0.016136,0.424000,0.024000,0.483000,0.025554,0.719200,0.009130,0.450600,0.020631,0.483400,0.022415,0.538987,0.018628
"f100011001",0.758400,0.015920,0.510600,0.021110,0.584400,0.018238,0.764600,0.014995,0.560000,0.016852,0.540400,0.014277,0.611652,0.016754
"f100011010",0.769600,0.016728,0.506000,0.017205,0.627800,0.021288,0.767400,0.016590,0.547000,0.017804,0.593800,0.013250,0.627308,0.016981
"f100011011",0.764600,0.010993,0.554400,0.031315,0.621200,0.022239,0.791400,0.016494,0.559000,0.023431,0.601400,0.020101,0.642062,0.019757
