features,Sen_DD,Sen_std_DD,Sen_CO,Sen_std_CO,Sen_TD,Sen_std_TD,Spe_DD,Spe_std_DD,Spe_CO,Spe_std_CO,Spe_TD,Spe_std_TD,geom_mean,geom_mean_std
"f111100000",0.682200,0.017238,0.415600,0.016989,0.586400,0.015068,0.699800,0.019646,0.462800,0.018335,0.529800,0.013783,0.552769,0.016728
"f111100001",0.702800,0.015497,0.523800,0.033280,0.597400,0.028831,0.710000,0.020591,0.564800,0.022999,0.560200,0.018384,0.605750,0.022492
"f111100010",0.699400,0.017483,0.309800,0.029085,0.558400,0.027522,0.665200,0.020517,0.349000,0.027074,0.531000,0.012530,0.496140,0.021450
"f111100011",0.747000,0.018788,0.468000,0.024900,0.634200,0.023672,0.686400,0.017408,0.537600,0.020056,0.613800,0.014267,0.607402,0.019511
"f111100100",0.631200,0.020750,0.492400,0.031972,0.678000,0.024819,0.663400,0.019961,0.565800,0.025620,0.588200,0.019768,0.599717,0.023454
"f111100101",0.711000,0.014318,0.568400,0.034430,0.683000,0.023770,0.716200,0.015986,0.610400,0.027126,0.642000,0.021541,0.652912,0.021871
"f111100110",0.677800,0.018899,0.398200,0.024955,0.682600,0.020180,0.639000,0.014731,0.505200,0.024596,0.606000,0.015362,0.574735,0.019380
"f111100111",0.788400,0.014610,0.497600,0.037606,0.701400,0.014424,0.726600,0.017732,0.590800,0.026294,0.661200,0.020361,0.653798,0.020546
"f111101000",0.691200,0.016810,0.426400,0.018736,0.565000,0.024434,0.679000,0.017349,0.483400,0.023631,0.523000,0.012689,0.552957,0.018496
"f111101001",0.688000,0.018762,0.518000,0.028636,0.583200,0.019229,0.690800,0.017186,0.549400,0.019840,0.554800,0.016642,0.593634,0.019710
"f111101010",0.683200,0.020634,0.342400,0.026650,0.555800,0.039754,0.677800,0.019317,0.372800,0.026910,0.525200,0.018999,0.508335,0.024493
"f111101011",0.734600,0.019515,0.489000,0.024352,0.634600,0.025156,0.686200,0.021344,0.554000,0.021260,0.612000,0.015875,0.612955,0.021014
"f111101100",0.616800,0.025333,0.494600,0.024512,0.662000,0.025846,0.648600,0.019597,0.566400,0.028125,0.578000,0.018655,0.591626,0.023420
"f111101101",0.711400,0.021355,0.561800,0.031413,0.676600,0.023800,0.706400,0.024961,0.612000,0.021541,0.636200,0.017651,0.648491,0.023089
"f111101110",0.672800,0.020884,0.404200,0.022986,0.680600,0.024772,0.644200,0.016503,0.505800,0.025147,0.601200,0.017279,0.575306,0.020980
"f111101111",0.787000,0.016155,0.512200,0.031704,0.691800,0.024470,0.716000,0.015620,0.601200,0.028750,0.665200,0.020223,0.656216,0.022014
"f111110000",0.756800,0.013482,0.470000,0.021541,0.498600,0.022892,0.726600,0.010883,0.483200,0.022666,0.504800,0.017463,0.561775,0.017491
"f111110001",0.789800,0.014490,0.559400,0.023273,0.592400,0.019551,0.760800,0.013541,0.610600,0.021946,0.572400,0.014500,0.641353,0.017468
"f111110010",0.826400,0.013230,0.459200,0.024887,0.601800,0.023807,0.780000,0.014560,0.518200,0.023211,0.575800,0.016382,0.613175,0.018746
"f111110011",0.816600,0.010883,0.545000,0.016279,0.652600,0.021892,0.752200,0.016284,0.622600,0.017414,0.632000,0.011489,0.664332,0.015261
"f111110100",0.768400,0.015147,0.511000,0.023345,0.603400,0.017159,0.726600,0.012427,0.568400,0.018260,0.582400,0.013793,0.620341,0.016334
"f111110101",0.811400,0.014562,0.614200,0.027356,0.669400,0.025722,0.767800,0.015138,0.665200,0.024268,0.658800,0.017279,0.694540,0.020054
"f111110110",0.801800,0.015322,0.495400,0.033239,0.688400,0.020235,0.768000,0.016000,0.598000,0.020881,0.622400,0.016560,0.653882,0.019618
"f111110111",0.805000,0.013304,0.549200,0.022257,0.726000,0.029052,0.786400,0.023980,0.646400,0.025200,0.659200,0.017758,0.689611,0.021259
"f111111000",0.751800,0.013370,0.483000,0.020712,0.499000,0.028862,0.723200,0.010666,0.494600,0.019205,0.505600,0.017339,0.565690,0.017466
"f111111001",0.777600,0.016317,0.551200,0.025818,0.574600,0.023427,0.756200,0.014952,0.586400,0.022870,0.559800,0.017719,0.627647,0.019775
"f111111010",0.817400,0.015207,0.466000,0.026533,0.604200,0.023073,0.771800,0.012914,0.528800,0.022507,0.576400,0.019158,0.615064,0.019310
"f111111011",0.808400,0.012548,0.547800,0.020619,0.649400,0.027306,0.749800,0.016792,0.619200,0.022346,0.630200,0.016061,0.661966,0.018687
"f111111100",0.770200,0.011223,0.530800,0.023566,0.605400,0.023597,0.724800,0.008542,0.592600,0.022787,0.585800,0.017331,0.629580,0.016617
"f111111101",0.809000,0.017804,0.604000,0.025768,0.656400,0.031226,0.764800,0.014865,0.651000,0.027148,0.649600,0.017083,0.685470,0.021500
"f111111110",0.792400,0.015174,0.497200,0.027426,0.684400,0.021275,0.756000,0.017889,0.604200,0.026237,0.618600,0.016001,0.651103,0.020128
"f111111111",0.797800,0.011187,0.561800,0.030964,0.708200,0.030769,0.781600,0.020136,0.648000,0.032000,0.648200,0.022951,0.685988,0.023242
